,V_2,V_5,V_9,V_12,V_15,V_19,V_28,V_31,V_39,V_8_no,V_10_no,V_14_no
1,-0.7123191364779888,-1.9260608942500133,0.19541390012712942,-0.3497303286512993,1.6711360607672916,-0.2015792466571563,-0.4730632534410524,1.1935929481603282,1.427766644471775,1,1,1
3,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,-0.3497303286512993,-0.34949428419757467,1.4676298428713825,0.18861585537531197,-1.392617547591419,0.712232945879515,1,0,1
8,-0.7123191364779888,-1.9260608942500133,0.19541390012712942,1.054463930632832,1.6711360607672916,1.4676298428713825,-0.6521058358266568,-1.392617547591419,-1.4343681498972645,1,1,1
9,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,-0.3497303286512993,-0.34949428419757467,0.9112268130285363,-0.6910281363452665,1.1935929481603282,-0.003300752712744759,1,1,0
11,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,1.054463930632832,-0.34949428419757467,-1.0361837914214256,-0.5314467042189669,0.7625578655350369,-0.7188344513050046,1,1,0
15,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,-1.7539245879354308,-0.34949428419757467,-0.7579822765000025,-0.23174499022567244,-0.5305473823408368,-1.4343681498972645,1,1,0
17,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,1.054463930632832,-0.34949428419757467,0.633025298107113,1.4302372419189604,-1.8236526302167104,-1.4343681498972645,1,1,1
19,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,-0.3497303286512993,-0.34949428419757467,-1.0361837914214256,-0.3874341923001111,1.1935929481603282,1.427766644471775,1,1,0
21,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,1.054463930632832,-0.34949428419757467,-1.0361837914214256,0.2197536957901997,-1.392617547591419,1.427766644471775,1,1,0
24,-0.7123191364779888,1.3585778980806238,0.19541390012712942,1.054463930632832,-0.34949428419757467,-1.0361837914214256,-0.00599564721773636,-1.392617547591419,1.427766644471775,1,1,1
28,1.2406226724909457,-0.2837414980846948,0.19541390012712942,-0.3497303286512993,-0.34949428419757467,-1.0361837914214256,-0.9206697094050635,0.7625578655350369,0.712232945879515,1,1,1
29,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,1.054463930632832,-0.34949428419757467,-1.0361837914214256,-0.5470156244264107,-1.392617547591419,0.712232945879515,1,0,0
33,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,0.5863991775381215,-0.34949428419757467,1.4676298428713825,0.16526247506414618,-1.392617547591419,1.427766644471775,1,1,0
35,-0.7123191364779888,1.3585778980806238,0.19541390012712942,1.054463930632832,-0.34949428419757467,-0.7579822765000025,-0.6053990752043252,-0.5305473823408368,-0.003300752712744759,1,1,0
37,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,0.5863991775381215,-0.34949428419757467,1.4676298428713825,-0.7922261176936516,-1.8236526302167104,-0.003300752712744759,1,1,0
38,-0.7123191364779888,-0.2837414980846948,0.19541390012712942,1.054463930632832,-0.34949428419757467,0.633025298107113,-0.7922261176936516,0.7625578655350369,-0.7188344513050046,1,1,1
40,-0.7123191364779888,-1.9260608942500133,0.19541390012712942,0.5863991775381215,-0.34949428419757467,1.4676298428713825,-0.048810177788206996,0.7625578655350369,-0.003300752712744759,1,1,0
41,1.2406226724909457,1.3585778980806238,0.19541390012712942,-1.2858598348407202,-0.34949428419757467,-0.7579822765000025,-0.37964973219638914,0.7625578655350369,-0.003300752712744759,1,0,1
